CASEID,V102,V106,V113
10050272702,0,3,0
10050274502,0,0,0
10050059104,0,1,0
10050059202,0,0,0
10050051402,0,1,1
10050052702,0,1,0
10050058202,0,1,1
10050056704,0,1,0
10050058302,0,1,1
10050224402,0,1,0
10050220602,0,1,0
10050229402,0,1,0
10050162402,0,1,1
10050161804,0,1,1
10050161804,0,1,1
10050167302,0,1,1
10050167401,0,1,1
10050167401,0,1,1
10050169304,0,1,1
10050169307,0,2,1
10050161902,0,1,1
10050161902,0,1,1
10050113902,0,1,1
10050113902,0,1,1
10050112402,0,1,1
10050116202,0,1,1
10050118602,0,1,1
10050118002,0,3,1
10050117202,0,1,1
10050117202,0,1,1
10050113104,0,1,1
10050329702,0,1,1
10050326502,0,3,1
10050321202,0,1,0
10050325304,0,1,0
10050328504,0,1,1
10050321902,0,1,1
10050324702,0,3,0
10050324702,0,3,0
10050123902,0,1,1
10050126502,0,1,0
10050129202,0,1,0
10050127403,0,1,0
10050123104,0,1,0
10050123104,0,1,0
10050127302,0,1,0
10050121102,0,1,1
10050123504,0,1,0
10050124503,0,1,1
10050126802,0,0,0
10050145502,0,1,1
10050149304,0,1,1
10050149304,0,1,1
10050146102,0,1,0
10050146102,0,1,0
10050145102,0,3,0
10050338402,0,1,1
10050333402,0,1,0
10050331102,0,1,0
10050331102,0,1,0
10050331102,0,1,0
10050337302,0,1,1
10050335304,0,1,1
10050333104,0,2,1
10050333104,0,2,1
10050337704,0,2,1
10050044604,0,2,1
10050044604,0,2,1
10050046004,0,1,1
10050043202,0,2,1
10050041002,0,2,0
10050044202,0,1,0
10050041402,0,1,0
10050040902,0,1,0
10050033302,0,1,0
10050033202,0,0,0
10050035904,0,3,0
10050035904,0,3,0
10050031902,0,3,0
10050031902,0,3,0
10050033502,0,1,0
10050036902,0,3,0
10050080804,0,1,1
10050085802,0,1,0
10050085802,0,1,0
10050086704,0,1,1
10050082702,0,1,1
10050084102,0,0,1
10050089304,0,1,1
10050083202,0,1,1
10050083202,0,1,1
10050081603,0,0,1
10050089404,0,1,1
10050420703,0,1,1
10050420703,0,1,1
10050428202,0,3,1
10050423402,0,1,1
10050425304,0,1,1
10050285102,0,1,0
10050285102,0,1,0
10050282802,0,1,0
10050281904,0,1,1
10050287902,0,1,0
10050287902,0,1,0
10050283602,0,1,1
10050289802,0,3,1
10050289802,0,3,1
10050286103,0,1,0
10050286302,0,1,0
10050286302,0,1,0
10050108102,0,1,1
10050102702,0,1,1
10050106602,0,3,1
10050108902,0,0,1
10050101403,0,1,1
10050107302,0,1,1
10050105402,0,3,1
10050100402,0,1,1
10050247702,0,1,1
10050244402,0,3,1
10050244402,0,3,1
10050241602,0,1,0
10050245402,0,3,0
10050248802,0,1,1
10050245302,0,1,1
10050245302,0,1,1
10050248704,0,1,1
10050248704,0,1,1
10050249402,0,3,0
10050237702,0,1,1
10050237702,0,1,1
10050239004,0,1,1
10050238302,0,1,1
10050235602,0,3,0
10050234204,0,0,0
10050231402,0,1,0
10050234602,0,0,0
10050234602,0,0,0
10050234602,0,0,0
10050236302,0,1,0
10050232303,0,0,0
10050232303,0,0,0
10050392404,0,1,0
10050393004,0,3,0
10050397602,0,2,0
10050397202,0,1,1
10050395304,0,1,0
10050395304,0,1,0
10050397004,0,2,1
10050391604,0,1,1
10050393502,0,1,1
10050390402,0,1,0
10050390402,0,1,0
10050183002,0,3,0
10050185502,0,1,1
10050181702,0,2,0
10050183802,0,2,1
10050183802,0,2,1
10050186002,0,1,1
10050187302,0,3,1
10050187302,0,3,1
10050181402,0,1,1
10050183902,0,1,1
10050195902,0,1,0
10050194802,0,1,0
10050194802,0,1,0
10050191904,0,2,0
10050196504,0,2,0
10050194402,0,1,0
10050195404,0,2,0
10050198604,0,2,0
10050387202,0,3,0
10050382602,0,1,0
10050389202,0,1,0
10050386202,0,3,0
10050384104,0,1,0
10050388302,0,0,0
10050170102,0,1,1
10050170102,0,1,1
10050174704,0,1,1
10050170402,0,2,1
10050176004,0,1,1
10050179302,0,1,1
10050177602,0,0,1
10050177202,0,1,1
10050177202,0,1,1
10050179404,0,1,1
10050417802,0,1,0
10050412102,0,1,1
10050415102,0,1,0
10050413402,0,2,0
10050419902,0,1,0
10050254102,0,0,1
10050259402,0,3,1
10050251702,0,0,0
10050251702,0,0,0
10050253502,0,0,0
10050255502,0,3,1
10050257302,0,3,1
10050257302,0,3,1
10050258704,0,1,1
10050250102,0,1,1
10050251002,0,3,1
10050257802,0,3,1
10050257802,0,3,1
10050253102,0,3,1
10050341602,0,1,0
10050341602,0,1,0
10050345304,0,1,0
10050344705,0,1,1
10050349902,0,1,0
10050344404,0,3,0
10050347402,0,1,0
10050347402,0,1,0
10050346702,0,1,0
10050354202,0,1,1
10050351402,0,0,0
10050351402,0,0,0
10050350302,0,3,0
10050350302,0,3,0
10050350302,0,3,0
10050354802,0,1,0
10050350104,0,1,1
10050357202,0,1,1
10050352102,0,1,0
10050352102,0,1,0
10050356104,0,0,1
10050351502,0,1,1
10050268104,0,1,1
10050268104,0,1,1
10050269502,0,1,0
10050261802,0,1,0
10050261802,0,1,0
10050262702,0,1,1
10050262702,0,1,1
10050260803,0,1,0
10050260803,0,1,0
10050263303,0,1,0
10050361002,0,1,1
10050364702,0,1,1
10050365404,0,0,1
10050365404,0,0,1
10050204904,1,1,1
10050204302,1,2,0
10050205102,1,1,1
10050202402,1,1,1
10050206502,1,1,1
10050201404,1,0,1
10050204204,1,1,1
10050206602,1,1,1
10050208402,1,0,1
10050201502,1,0,1
10050201502,1,0,1
10050206902,1,1,1
10050206902,1,1,1
10050016403,1,1,1
10050013702,1,1,1
10050019504,1,1,1
10050018503,1,3,1
10050015602,1,1,1
10050013604,1,1,1
10050015002,1,1,1
10050018202,1,1,1
10050018202,1,1,1
10050153402,1,1,1
10050150902,1,1,1
10050158504,1,1,1
10050155002,1,1,1
10050158302,1,1,1
10050154604,1,1,1
10050150304,1,2,1
10050157702,1,1,1
10060138302,0,1,1
10060138302,0,1,1
10060133402,0,1,0
10060135602,0,1,0
10060135602,0,1,0
10060131905,0,1,1
10060135702,0,1,1
10060130702,0,1,1
10060131602,0,1,1
10060138001,0,1,1
10060301604,0,1,1
10060305702,0,1,0
10060305702,0,1,0
10060306804,0,1,1
10060303102,0,1,0
10060067802,0,1,1
10060068602,0,1,0
10060065402,0,1,1
10060310502,0,3,1
10060317302,0,3,1
10060312302,0,3,1
10060312902,0,3,0
10060313102,0,1,0
10060310302,0,1,0
10060295204,0,1,0
10060291702,0,1,1
10060292601,0,0,0
10060295404,0,1,1
10060096602,0,1,0
10060096602,0,1,0
10060095102,0,1,0
10060095102,0,1,0
10060091002,0,1,0
10060098702,0,1,0
10060092602,0,1,0
10060094304,0,1,0
10060094307,0,2,0
10060097504,0,0,0
10060097504,0,0,0
10060402704,0,1,0
10060402704,0,1,0
10060403002,0,1,0
10060403002,0,1,0
10060401604,0,1,0
10060407802,0,3,1
10060408904,0,1,1
10060408804,0,1,0
10060404202,0,1,1
10060403502,0,1,0
10060406202,0,1,0
10060407702,0,1,0
10060406702,0,1,0
10060406702,0,1,0
10060020104,0,0,0
10060024802,0,1,1
10060026504,0,1,1
10060026902,0,1,1
10060210104,0,1,0
10060210604,0,1,1
10060219504,0,1,1
10060077902,0,2,0
10060077902,0,2,0
10060074604,0,3,0
10060075804,0,1,0
10060075804,0,1,0
